"filename", "language", "JSON", "HTML", "PHP", "PostCSS", "JavaScript", "SCSS", "comment", "blank", "total"
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/shopping_cart/form_shopping_cart_delete_call.php", "PHP", 0, 0, 4, 0, 0, 0, 0, 2, 6
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/shopping_cart/form_shopping_cart_insert.php", "PHP", 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/admin_header.php", "PHP", 0, 0, 50, 0, 0, 0, 0, 4, 54
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/admin_nav.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 22
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/customer_nav.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 27
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/customers_functions.php", "PHP", 0, 0, 114, 0, 0, 0, 0, 21, 135
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/footer.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/guest_header.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 1, 18
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/orders_functions.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 10, 35
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/products_functions.php", "PHP", 0, 0, 47, 0, 0, 0, 4, 12, 63
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/index.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 16
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/login.php", "PHP", 0, 0, 102, 0, 0, 0, 0, 21, 123
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/register.php", "PHP", 0, 0, 102, 0, 0, 0, 0, 21, 123
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/security/check_session.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/security/protect_admin_pages.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 5
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/composer.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/composer.lock", "JSON", 492, 0, 0, 0, 0, 0, 0, 1, 493
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/common.css", "PostCSS", 0, 0, 0, 326, 0, 0, 0, 67, 393
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/index.css", "PostCSS", 0, 0, 0, 148, 0, 0, 0, 27, 175
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/input.css", "PostCSS", 0, 0, 0, 50, 0, 0, 0, 12, 62
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/sass/_common.scss", "SCSS", 0, 0, 0, 0, 0, 359, 0, 78, 437
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/sass/_mixin.scss", "SCSS", 0, 0, 0, 0, 0, 63, 0, 15, 78
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/sass/_variables.scss", "SCSS", 0, 0, 0, 0, 0, 15, 0, 2, 17
